Data for figure 4c.
Drug	Migration
Cytoskeletal	 0.015697478
Cytoskeletal	 0.206619298
Cytoskeletal	-0.422464009
Cytoskeletal	-1.219572970
Cytoskeletal	 0.516705866
Cytoskeletal	-0.256199394
Cytoskeletal	-0.536085171
Cytoskeletal	 0.342043044
Cytoskeletal	-0.031384635
Cytoskeletal	 1.036204823
Cytoskeletal	 0.953493815
Cytoskeletal	-0.150213306
Cytoskeletal	-2.394241143
Cytoskeletal	 1.023964534
Cytoskeletal	-0.492067502
Cytoskeletal	 0.077318091
Cytoskeletal	 0.708713205
Cytoskeletal	 0.084583051
Cytoskeletal	-0.164875221
Cytoskeletal	 0.681126189
Cytoskeletal	 0.120981896
Cytoskeletal	 0.026555004
Cytoskeletal	-0.254959302
Cytoskeletal	 1.131134445
Cytoskeletal	-0.425096271
Cytoskeletal	 0.349686054
Cytoskeletal	-0.060381547
Cytoskeletal	 0.157540540
Cytoskeletal	 0.687211743
Cytoskeletal	 0.514022440
Cytoskeletal	 0.313999037
Cytoskeletal	 0.041046181
Cytoskeletal	 0.306594640
Cytoskeletal	-0.934736209
Cytoskeletal	 0.909015115
Cytoskeletal	 0.003620789
Cytoskeletal	 0.649592971
Cytoskeletal	 0.283723698
Cytoskeletal	-0.889218046
Cytoskeletal	-0.123413604
Cytoskeletal	 1.285112040
Cytoskeletal	-1.003965197
Cytoskeletal	-0.814879154
Cytoskeletal	-1.449265029
Cytoskeletal	-0.339446698
Cytoskeletal	-0.942199885
Cytoskeletal	-1.180235342
Cytoskeletal	-1.477107906
Cytoskeletal	 0.953493815
Cytoskeletal	-0.561298825
Cytoskeletal	-0.735376121
Cytoskeletal	 1.170802988
Cytoskeletal	 0.133304252
Cytoskeletal	-1.242557790
Cytoskeletal	 0.316535509
Cytoskeletal	 0.406724448
Cytoskeletal	 0.572627404
Cytoskeletal	 0.898163927
Cytoskeletal	-0.216490735
Cytoskeletal	-0.231337438
Cytoskeletal	 0.736844515
Cytoskeletal	 1.019918026
Cytoskeletal	-0.607024805
Cytoskeletal	 0.552909686
Cytoskeletal	-0.296305595
Cytoskeletal	-0.848871930
Cytoskeletal	 1.435750930
Cytoskeletal	 1.646215813
Cytoskeletal	 1.165457252
Cytoskeletal	 0.752724535
Cytoskeletal	-1.560625619
Cytoskeletal	 0.354819300
Cytoskeletal	-1.637059837
Cytoskeletal	 0.972589368
Cytoskeletal	 0.194307839
Cytoskeletal	-1.091132744
Cytoskeletal	 1.085948240
Cytoskeletal	 0.502980538
Cytoskeletal	-1.095482772
Cytoskeletal	 1.131146007
Cytoskeletal	-0.669029229
Cytoskeletal	-0.415248370
Cytoskeletal	-0.054385337
Cytoskeletal	 1.168268433
Cytoskeletal	 0.062799893
Cytoskeletal	-0.261186366
Cytoskeletal	 1.867575674
Cytoskeletal	 0.113690959
Cytoskeletal	-0.050711519
Cytoskeletal	-0.155096908
Cytoskeletal	 0.310743870
Cytoskeletal	-0.505718032
Cytoskeletal	 0.883864083
Cytoskeletal	-0.295047433
Cytoskeletal	 0.002413813
Cytoskeletal	 0.352251529
Cytoskeletal	 0.999928432
Cytoskeletal	 0.859260114
Cytoskeletal	 1.628037666
Cytoskeletal	 0.880317001
Cytoskeletal	-0.435775119
Cytoskeletal	-0.919967390
Cytoskeletal	-0.434210547
Cytoskeletal	 1.456121412
Cytoskeletal	 0.912647838
Cytoskeletal	-0.090640611
Cytoskeletal	 0.385824510
Cytoskeletal	 2.225956251
Cytoskeletal	 0.388424118
Cytoskeletal	 1.815886267
Cytoskeletal	 0.483920678
Cytoskeletal	-0.150235004
Cytoskeletal	 0.912647838
Cytoskeletal	 1.335916248
Cytoskeletal	 1.757362238
Cytoskeletal	 0.419859050
Cytoskeletal	 0.611375843
Cytoskeletal	 0.555665763
Cytoskeletal	 0.497516692
Cytoskeletal	-1.709373086
Cytoskeletal	-1.247755392
Cytoskeletal	 0.316534501
Cytoskeletal	-0.704079546
Cytoskeletal	-0.711811245
Cytoskeletal	 0.560084616
Cytoskeletal	 0.135615517
Cytoskeletal	 1.137981993
Cytoskeletal	 0.685726556
Cytoskeletal	-1.506132219
Cytoskeletal	 0.375446651
Cytoskeletal	 0.082161879
Cytoskeletal	-0.631831858
Cytoskeletal	-1.052777298
Cytoskeletal	 1.134955267
Cytoskeletal	 1.449265029
Cytoskeletal	 0.179572290
Cytoskeletal	-0.113690959
Cytoskeletal	-1.669742368
Cytoskeletal	 1.044451080
Cytoskeletal	-0.876780844
Cytoskeletal	-0.732267890
Cytoskeletal	 1.285415945
Cytoskeletal	 0.669029229
Cytoskeletal	 0.791628944
Cytoskeletal	-0.953493815
Cytoskeletal	 0.117541874
Cytoskeletal	 1.955814709
Cytoskeletal	 0.635348665
Cytoskeletal	-1.187447473
Cytoskeletal	 0.866236824
Cytoskeletal	-0.321611494
Cytoskeletal	-0.236297412
Cytoskeletal	 2.354973009
Cytoskeletal	 0.231337438
Cytoskeletal	 0.125846403
Cytoskeletal	 0.218985649
Cytoskeletal	-1.056953920
Cytoskeletal	-0.848871930
Cytoskeletal	 0.051930842
Cytoskeletal	 1.126600356
Cytoskeletal	-0.835160336
Cytoskeletal	-0.142894506
Cytoskeletal	-1.247755392
Cytoskeletal	-1.860882207
Cytoskeletal	-0.199228823
Cytoskeletal	-0.038630474
Cytoskeletal	-0.663016989
Cytoskeletal	 1.187447473
Cytoskeletal	-0.711933215
Cytoskeletal	 0.443646231
Cytoskeletal	-0.961090423
Cytoskeletal	 0.873255501
Cytoskeletal	-0.133147806
Cytoskeletal	-0.618651451
Cytoskeletal	-0.612827882
Cytoskeletal	 0.267468060
Cytoskeletal	 0.301351267
Cytoskeletal	 0.589735191
Cytoskeletal	 0.454314013
Cytoskeletal	 1.694181037
Cytoskeletal	-0.275055856
Cytoskeletal	-0.331790282
Cytoskeletal	-0.218961822
Cytoskeletal	-0.840489730
Cytoskeletal	 0.785063593
Cytoskeletal	 1.337361501
Cytoskeletal	-0.607024805
Cytoskeletal	 0.942199885
Cytoskeletal	-0.194307839
Cytoskeletal	-0.228859569
Cytoskeletal	 2.485900815
Rest	-0.273690173
Rest	-0.216490735
Rest	-0.179572290
Rest	-0.401456183
Rest	 0.166143006
Rest	 0.625966230
Rest	-0.396233296
Rest	-0.589735191
Rest	 0.618651451
Rest	 0.186935045
Rest	-0.342003197
Rest	-0.749533599
Rest	 0.189391506
Rest	 1.544276001
Rest	-0.873255501
Rest	-0.825206364
Rest	 0.615737084
Rest	 0.804862093
Rest	 0.093065060
Rest	-1.746345357
Rest	-0.026555004
Rest	-1.655582252
Rest	-0.253703553
Rest	-0.759129280
Rest	-1.279666743
Rest	-0.007241494
Rest	 0.009655391
Rest	 0.172219155
Rest	 0.200623658
Rest	-0.113690959
Rest	 0.089428790
Rest	 1.044451080
Rest	 0.522222933
Rest	 1.365679460
Rest	-0.558480103
Rest	-0.096701331
Rest	-0.448975383
Rest	 0.467721224
Rest	-1.895579760
Rest	-1.365679460
Rest	 1.724920256
Rest	 0.076108163
Rest	 0.157540075
Rest	 0.183252575
Rest	 0.319071980
Rest	-0.291358717
Rest	 0.814879154
Rest	 0.253703553
Rest	-2.148798103
Rest	-0.036214990
Rest	-0.615737084
Rest	-0.824714534
Rest	-0.019311672
Rest	 1.207068693
Rest	 2.680820071
Rest	 2.394241143
Rest	-0.277778135
Rest	 0.508459282
Rest	-2.374607076
Rest	-1.377926666
Rest	-1.285112040
Rest	-1.513587791
Rest	-0.972589368
Rest	-2.485900815
Rest	 0.240022811
Rest	 0.459667072
Rest	-1.095482772
Rest	 0.909009180
Rest	 0.470412601
Rest	-0.857523676
Rest	 1.477255438
Rest	-1.422491396
Rest	-1.841122724
Rest	-0.175976272
Rest	 0.174669157
Rest	-1.396690269
Rest	 1.324332658
Rest	 0.236297412
Rest	-0.578305244
Rest	-0.253703553
Rest	 0.120985080
Rest	 1.095482772
Rest	-0.456988923
Rest	-0.654042792
Rest	-2.006574956
Rest	-0.714916059
Rest	-1.724920256
Rest	 0.831756673
Rest	 0.972589368
Rest	-1.924732791
Rest	-0.103978936
Rest	-0.824406530
Rest	 0.796627893
Rest	-1.315764245
Rest	-0.708726636
Rest	 0.169770175
Rest	 0.191849099
Rest	-0.014483365
Rest	 0.009655391
Rest	 0.604490979
Rest	 0.106405997
Rest	-1.757362238
Rest	 0.494790280
Rest	-1.163539645
Rest	 0.088217229
Rest	 0.059177685
Rest	-0.329242435
Rest	 0.048294780
Rest	-0.666020132
Rest	-0.155174324
Rest	 0.238779549
Rest	 0.768794623
Rest	-0.108833678
Rest	 0.778531553
Rest	-0.201809807
Rest	-1.841274615
Rest	-0.501780640
Rest	 0.031384635
Rest	 0.310201789
Rest	-0.347122854
Rest	 0.414561315
Rest	-1.207068693
Rest	-0.041046181
Rest	-0.645120410
Rest	-0.266182933
Rest	 0.397565143
Rest	-0.385819356
Rest	-1.426405840
Rest	 0.084583051
Rest	-0.648088860
Rest	 0.467721224
Rest	 0.409345747
Rest	-0.778531553
Rest	 0.508459282
Rest	-0.651062971
Rest	 0.831832742
Rest	 2.776623969
Rest	-0.968742306
Rest	 0.039838557
Rest	 0.752724535
Rest	-1.108688854
Rest	-0.698608525
Rest	 0.009655391
Rest	 0.938461582
Rest	-3.119573773
Rest	-0.523716036
Rest	-0.293785564
Rest	-1.704251085
Rest	 1.301678532
Rest	-0.478507096
Rest	-1.312922262
Rest	-1.015887975
Rest	 0.627425974
Rest	 1.061158030
Rest	-2.225956251
